x_(px)  Y_(px)  Channel
93.05989  672.09447 2
93.95641  666.97405 1
94.44473  239.53359 1
94.60892  261.40544 1
94.91596  244.63982 2
94.97907  601.01224 1
95.13486  493.92091 1
95.40096  265.01072 2
95.45275  322.4818  1
95.49643  515.90425 2
95.50635  306.47085 2
95.64306  227.91837 2
95.69896  955.96235 2
95.98903  623.01154 1
96.14376  556.02078 2
96.37735  887.3628  1
96.86041  593.1564  1
97.96968  583.88878 2
97.97407  674.47362 1
98.01074  578.02877 1
98.54656  497.93205 2
98.97664  869.19443 1
99.13086  255.58264 2
99.41142  595.32535 2
99.58498  476.03214 2
99.94776  301.72522 1
100.49106 620.04993 2
100.61305 526.57846 1
100.6552  873.49137 2
100.83606 958.5659  1
101.00497 657.14493 2
101.05657 888.8675  2
101.16737 532.26052 2
101.25777 249.40178 1
101.67343 642.24857 2
101.82916 571.62786 2
101.96782 549.65942 1
102.04878 647.30378 1
102.2889  518.88735 1
102.43805 610.3234  2
102.64967 545.51803 2
102.72687 539.83196 1
103.47669 635.49106 1
103.99223 839.01444 1
104.03232 261.02154 1
104.07752 471.77248 1
104.46818 584.5147  1
105.22131 522.71236 2
106.07777 832.53462 2
106.3365  823.96824 1
106.37901 506.3928  2
106.58582 815.9259  1
106.99395 867.44263 1
106.99497 568.96446 1
107.39521 581.43066 2
107.59221 611.4647  1
107.65882 857.02697 1
107.85759 633.71665 2
107.98532 600.47467 2
108.36702 269.15112 1
108.37309 670.42307 1
108.44244 496.25627 2
108.99877 655.65476 1
109.29551 860.99562 2
109.44351 511.00228 1
110.50564 265.48314 2
110.63431 664.14166 2
110.73514 476.43047 1
110.76539 820.79046 2
110.9003  481.4118  2
111.04447 542.43807 2
111.14657 525.82758 1
111.21498 885.91835 2
111.21711 648.36098 2
111.59112 594.86015 1
111.99542 680.52579 1
112.22668 500.15462 1
112.46728 530.96249 2
112.6672  629.49021 1
112.9998  550.94508 1
113.18067 570.47404 2
113.58236 676.53858 2
113.88189 891.42725 1
114.5532  556.39822 2
114.91138 270.00453 1
116.54816 594.70255 2
117.27767 490.92462 2
117.82471 628.78715 2
118.04851 603.49015 2
118.32406 576.66046 1
119.46374 591.03521 1
119.77219 546.78425 2
120.28346 578.94342 2
120.59629 506.90034 2
120.94242 636.78441 1
121.48682 499.49236 1
121.97685 924.54087 1
122.27691 613.23348 2
122.49729 541.01161 1
123.11356 934.9406  1
123.30639 525.78528 2
123.47261 831.49665 1
124.09633 592.11224 2
124.29767 478.89162 2
124.83397 638.50261 2
124.98391 879.99916 1
125.02434 553.97165 2
125.06956 549.48165 1
125.38362 883.0104  2
126.09149 847.38135 1
126.32439 601.06335 2
126.97475 937.41579 2
127.01419 927.51868 2
127.15808 468.91451 2
127.47293 559.88305 1
127.51765 833.46273 2
128.28024 582.18506 2
128.42013 499.20151 2
129.33533 847.88164 2
129.59688 505.54184 1
130.03829 579.0309  1
130.38258 542.12059 2
130.55799 537.08692 1
130.5758  806.00116 1
130.91073 494.12532 1
132.11708 562.09238 2
132.62403 592.49934 2
132.91756 509.75175 2
133.42795 548.02072 1
133.508 551.94192 2
134.47626 476.02011 1
134.81808 533.10602 2
134.85475 938.41801 1
134.9416  674.12385 1
135.12246 569.83542 2
135.30752 632.95581 1
135.97935 801.03906 1
136.0106  664.4804  1
136.01806 859.02366 1
136.05858 480.32323 2
136.44995 820.88721 1
136.51875 587.14414 1
137.06748 858.19929 2
137.42178 815.8756  2
137.61314 668.90087 2
137.77511 952.44233 1
138.22994 805.19215 2
138.48025 624.64815 1
138.76238 866.35705 1
138.99427 678.85559 2
139.15511 941.10641 2
139.26084 900.40377 2
139.81247 765.09453 1
140.07006 523.7497  2
140.17223 772.85609 2
140.49268 607.05842 2
140.57609 531.37099 1
140.59986 632.86552 2
140.80015 546.24956 2
141.08409 793.1111  2
141.1608  620.31204 2
141.61711 576.61392 2
142.07376 643.3481  2
142.17094 758.99602 2
142.24892 614.57182 1
142.57028 954.34503 2
142.60826 513.60758 2
142.7094  563.13517 2
142.76324 496.70536 1
142.7694  911.46763 1
142.95815 673.05273 1
143.35148 502.84823 2
145.08952 863.53007 2
145.13909 653.96668 2
145.53435 604.13605 1
145.78159 581.4355  1
146.95317 586.75445 2
147.04321 796.31041 1
147.62682 680.65221 1
148.02294 630.97754 1
148.08175 591.4543  1
149.02917 624.9628  1
149.1943  614.50515 2
149.44671 851.86409 1
149.91452 894.47922 2
150.12669 728.2463  2
150.55303 487.41192 1
150.87945 733.45642 1
151.48208 786.53832 1
151.49024 542.00007 1
151.89842 657.48923 1
151.93084 682.1797  2
152.06346 501.98506 1
152.15496 571.35503 2
152.64377 507.13346 2
152.94704 847.83483 2
153.28991 629.15906 2
154.04236 616.00218 1
154.67007 490.30898 2
154.77338 517.58797 2
154.82178 829.48715 2
154.90241 937.87308 1
155.56094 688.52104 1
155.98684 739.83894 1
156.00959 643.66301 2
156.03705 999.50514 2
156.13718 838.90832 1
156.54025 659.11116 2
156.56436 924.63299 1
156.57776 822.99044 1
156.59182 512.59231 1
156.64786 535.52458 2
157.33161 570.80209 1
157.4344  483.55665 1
157.62787 941.30363 2
158.00054 771.07619 1
158.2374  787.04452 2
158.55257 603.8795  2
158.98937 505.07925 1
159.27  563.88614 2
159.63017 630.24932 1
159.67671 927.11655 2
160.35585 686.1354  2
160.50041 648.00438 1
161.03733 638.99713 1
161.06101 490.51781 1
161.15114 581.60903 2
161.32367 837.4371  2
161.48122 735.99473 2
161.99017 608.39908 1
162.03922 538.88586 1
162.73671 518.61244 2
162.98835 508.22069 2
163.30955 626.50145 2
163.37004 613.93064 2
163.63261 771.17248 2
163.95624 670.31335 1
164.00089 739.04752 1
164.03133 590.49382 1
164.04702 546.42087 2
164.50975 635.03864 2
164.53345 577.35432 1
164.91146 665.1946  2
165.15195 514.35843 1
165.6947  596.14326 2
165.70495 888.98644 2
165.83122 602.5135  1
166.84585 529.80959 2
167.00716 777.52547 1
169.44359 489.50463 2
169.88169 789.23227 1
170.24802 782.57914 2
170.47956 593.01184 1
170.78514 643.27031 2
170.8798  484.86611 1
171.22267 727.70181 1
171.7948  888.58952 1
171.82517 507.72133 1
172.5818  522.05009 2
172.93021 647.42688 1
172.93456 588.32172 2
173.42028 617.29904 2
173.49145 603.26408 2
174.08211 733.42025 2
174.40969 512.68082 2
174.73173 952.51619 1
176.27525 902.37323 1
176.2986  838.12215 1
176.40378 655.85424 1
176.48201 661.05852 2
177.21581 789.29608 2
177.44138 597.5342  1
177.5802  576.90137 2
178.02057 522.43935 1
178.14439 620.44564 1
178.46233 562.92439 2
178.99976 516.09544 1
179.01173 588.07788 1
179.55268 744.71993 1
179.56832 956.32922 2
180.03797 626.99719 2
180.50132 490.44212 2
180.51966 604.97486 1
180.80805 710.25587 1
180.82233 531.43019 2
180.96997 780.4922  1
181.44587 536.44719 1
181.7959  835.20222 2
181.81076 813.19763 2
181.87717 903.07085 2
181.95671 754.01029 1
182.20995 553.78193 2
182.4625  598.43615 2
183.68915 564.56305 1
183.92781 818.59377 1
183.9346  738.01595 1
184.24412 649.34659 2
184.3945  860.00754 2
184.42333 667.37442 2
184.9415  588.03541 2
185.59582 671.67299 1
185.94559 528.02345 1
185.997 743.84746 2
186.28694 608.79612 2
186.78761 592.08743 1
187.00136 509.93612 1
187.25851 841.8511  1
187.33162 778.04346 2
187.66587 754.87144 2
188.37972 553.11479 1
188.73859 822.65784 2
188.95168 618.73594 1
189.14785 906.74094 1
189.49229 931.05434 1
189.51882 935.85438 2
189.63773 648.87763 1
189.71708 862.68147 1
190.00407 759.00948 1
190.09119 721.44561 2
190.12449 889.3884  2
191.61682 610.65971 1
192.32917 839.94162 2
192.497 766.45833 1
192.8659  656.45632 2
193.42246 599.19053 2
193.81594 956.80971 1
193.91018 563.51241 1
194.64931 631.79973 2
194.86778 879.06309 2
195.11824 721.9821  1
195.13079 626.69537 1
196.03212 576.98943 1
196.17431 903.55016 2
196.20051 873.82086 1
196.42956 611.34741 2
196.75926 970.25143 1
196.82007 581.9336  2
197.13517 560.66675 2
197.47893 768.05023 2
197.63694 961.02862 2
199.1498  808.55541 1
199.42583 586.11036 1
199.89816 929.07816 1
200.53785 742.68832 2
200.97958 365.47306 1
201.23349 730.80773 1
202.10821 711.97594 1
202.44556 929.65988 2
202.48762 374.43644 1
202.50987 605.54031 1
202.90045 813.64301 2
202.98642 796.30164 1
203.08778 621.25699 2
203.58265 880.0485  2
203.80314 842.43595 2
204.17628 725.4708  2
204.70097 746.19615 1
205.38168 607.89203 2
206.07095 904.41836 1
206.54201 708.03716 2
209.19689 797.63655 2
209.37231 891.38471 1
210.32148 882.51176 1
210.45967 808.81161 1
210.84787 904.07435 2
211.98928 552.10446 2
212.03013 751.93713 1
212.04264 720.47636 1
212.10886 737.82265 2
212.73208 756.90835 2
214.41199 799.42198 1
214.43535 890.20409 2
214.54464 548.06707 1
215.05552 840.54505 1
215.09174 485.04934 2
216.07999 927.03986 1
216.18917 812.71523 2
216.32793 710.49148 1
216.48166 723.03444 2
217.81104 572.33509 2
217.86388 705.52122 2
218.90673 530.88808 1
219.21346 526.06313 2
219.46668 839.99057 2
219.60469 618.88591 2
220.03954 799.88925 2
220.10753 751.66448 1
221.03447 929.10391 2
221.04693 795.01384 1
222.06263 376.69454 1
222.71588 572.44999 1
222.91094 809.76046 1
222.99216 936.02989 1
223.0157  521.48769 1
223.38268 756.05084 2
223.47068 552.15651 1
224.49305 788.54007 1
224.85435 469.91188 1
226.04757 595.22228 2
226.28454 741.87376 1
227.00949 658.71288 1
227.26826 548.27973 2
227.78456 533.65153 2
227.81801 642.56174 2
227.8895  731.55223 1
228.04623 812.95356 2
228.74978 569.42983 1
229.07068 485.45195 2
229.3956  786.6385  2
229.49476 797.4892  1
229.56438 472.49588 2
229.88026 637.40544 1
229.93103 852.91717 1
230.05686 656.2325  2
230.89839 595.6227  1
230.94192 829.98266 1
230.94601 835.04164 2
231.52368 532.99402 1
231.95387 894.53474 1
232.01311 726.31428 2
232.26679 738.43131 2
232.65064 940.40302 1
233.0466  476.03644 1
233.228 801.28241 2
233.39213 957.36214 1
234.01077 855.53531 2
234.16662 496.51267 2
234.19442 934.76966 2
234.23578 569.00382 2
234.51284 962.4891  2
236.9257  557.2446  2
237.01224 653.0355  1
237.83949 874.24079 2
237.91348 780.50782 2
238.13978 606.4517  2
238.1448  893.42655 2
239.01237 811.35994 2
239.32577 506.35706 2
240.01117 924.55838 1
240.15307 756.06555 2
240.24532 621.23125 2
240.49076 848.10662 1
241.1047  743.81486 2
241.25882 593.86419 2
241.62355 787.76684 1
241.6932  656.7312  2
242.12363 626.57114 1
242.14154 738.14087 1
242.50037 942.48242 1
242.54736 871.02392 1
242.67077 509.68084 1
242.95511 899.47916 1
242.98437 604.97715 1
243.03452 751.47403 1
243.40415 720.90285 2
243.9503  781.10169 1
244.38684 715.41007 1
244.47788 487.52495 2
244.93301 460.9826  2
245.04752 947.86349 2
245.05341 791.87723 2
245.67149 594.62796 1
245.67917 923.19802 2
245.97045 653.85279 1
246.53414 480.00443 1
246.65057 577.42684 2
246.749 445.4224  2
247.04733 475.32753 2
247.48613 724.53139 1
247.86748 879.0268  1
248.39943 448.12753 1
248.54766 859.63368 1
248.59515 461.12841 1
249.99986 621.53011 1
250.16185 838.07347 2
250.77829 616.45881 2
250.93448 576.9843  1
253.04099 816.46136 2
253.64259 632.88586 2
253.81894 864.80287 2
254.09694 879.22368 2
254.44195 750.49086 1
255.06868 747.14242 2
255.39446 617.85895 1
256.24306 797.0147  1
256.40318 769.12895 2
256.96615 839.97877 1
257.035 763.9853  1
257.27938 735.79086 1
257.30854 807.09926 1
257.56012 632.58767 1
257.98255 853.33351 2
258.55529 460.90587 2
258.806 817.99557 1
259.57502 831.16339 1
259.9906  847.99285 1
261.21433 797.20454 2
262.6088  663.60737 1
262.97192 756.99612 1
263.02875 646.13349 1
263.05126 734.07167 2
263.32023 809.53254 2
264.05657 502.01248 2
264.69657 650.60108 2
264.95397 519.09115 1
265.46951 721.10779 1
